department,title,ask,answer
普通外科,早上起来腰痛有点怕冷乏力怎么治疗,"女，今年45岁，易疲劳,腰痛,尿频，1年多是什么肾虚，多做活动。请问早上起来腰痛有点怕冷乏力怎么治疗",你好，根据你的病史和临床表现来看主要是考虑与阳虚有关系的，因此六味地黄丸口服治疗的话是不适合的。建议可以运用五子衍宗丸口服调养的，这样的话效果会更好的，中医讲求辨证治疗，必须捉住疾病的本质的。除了相应治疗措施缓解急性期症状外，做好日常保健和预防，给予正确的健康教育，对预防复发、防止加重、缓解症状都具有很好作用。
普通外科,早上被腰痛醒后无法入睡怎么治疗,"女，今年23岁，易疲劳,腰痛,尿频，1年多是什么肾虚，多做活动。请问早上被腰痛醒后无法入睡怎么治疗",考虑可能会为腰背筋膜炎，腰背肌筋膜炎是指因寒冷、潮湿、慢性劳损使腰背部肌筋膜及肌联盟再次发生水肿、沁出及纤维变性而再次出现的一连串临床诊断症状。本病应留意腰部歇息，防止风寒，可配带护腰，冷敷、理疗、针灸等物理治疗。如不纾解，建议到医院复诊，必要时行影像学检查。
肛肠,痔疮会影响怀孕吗,男，51岁，我的工作经常要坐在电脑旁，每天都要几个小时以上，去年开始我的屁股就长痔疮了，刚开始只是一小块肉，不痛也没有流血，请问；痔疮会影响怀孕吗,痔疮是绝不会影响怀孕的。如果是女方患痔疮的话，要先救治，以免在孕期病发，导致小产。建议你便后要温水坐浴，要始终保持大便通畅，排便易消化、少含渣滓的食物。饮食应粗细配搭，少饮浓茶、咖啡、酒类及少进辛辣食物，以增加对肛管的刺激。不要有任何的心理压力，保持愉快的心情，而且期间要注意多休息，同时饮食也要保持清单，避免油腻和辛辣，这样对你自己和腹中的胎儿都是有好处的。
肛肠,哪种方法治疗痔疮好,男，53岁，我的工作经常要坐在电脑旁，每天都要几个小时以上，去年开始我的屁股就长痔疮了，刚开始只是一小块肉，不痛也没有流血，请问；哪种方法治疗痔疮好,经常便秘的人就会容易导致痔疮，痔疮会给人生存带给很大的不便和痛苦，治疗方法就是想缓解救治，只有手术救治，如果是痔疮很小的话，也可以保守药物救治或痔疮肚脐贴贴也可以，但是效果都不如手术救治明显。不要有任何的心理压力，保持愉快的心情，而且期间要注意多休息，同时饮食也要保持清单，避免油腻和辛辣，这样对你自己和腹中的胎儿都是有好处的。
肛肠,痔疮的治疗方法有那些,男，52岁，我的工作经常要坐在电脑旁，每天都要几个小时以上，去年开始我的屁股就长痔疮了，刚开始只是一小块肉，不痛也没有流血，请问；痔疮的治疗方法有那些,可以用对症药物.扩展，痔核浮肿。忌辛辣痔疮患者如果嗜食刺激性强的辛辣食物，如辣椒、大蒜、生姜等，可迫使痔疮冲血，从而不断加剧痛痛。忌饱餐暴饮暴食、排便过饱，会增大痔疮的病发程度。不要有任何的心理压力，保持愉快的心情，而且期间要注意多休息，同时饮食也要保持清单，避免油腻和辛辣，这样对你自己和腹中的胎儿都是有好处的。
肛肠,这种痔疮怎么治适合,"男，53岁，我的一个朋友得病多年,去年频发,大便带血,不能吃棘椒,喝酒我想知道痔疮的较佳治疗方法，请问；这种痔疮怎么治适合",对于你这痔疮的保守救治我行肛门坐浴稳定局部血液循环；增强粗纤维性食物，发生改变不良的大便习惯，始终保持大便通畅，综合防治便秘和恶心呕吐，用对症药物对症药物塞肛救治等，你这保守救治无效行得通手术救治。不要有任何的心理压力，保持愉快的心情，而且期间要注意多休息，同时饮食也要保持清单，避免油腻和辛辣，这样对你自己和腹中的胎儿都是有好处的。
肛肠,痔疮怎么好的快些,男34岁，我的工作经常要坐在电脑旁，每天都要几个小时以上，去年开始我的屁股就长痔疮了，刚开始只是一小块肉，不痛也没有流血，请问；痔疮怎么好的快些,根据你叙述的情况看，恐怕是闹肚子了导致的痔疮，这几天应当清淡饮食，多喝水，多吃蔬菜，禁食辛辣食物，始终保持大便通畅会好多的，局部清洁后，涂有关的对症药物。如果过几天没效果就到医院做下仔细检查。不要有任何的心理压力，保持愉快的心情，而且期间要注意多休息，同时饮食也要保持清单，避免油腻和辛辣，这样对你自己和腹中的胎儿都是有好处的。
肛肠,痔疮平时需要注意些什么,男，54岁，我的工作经常要坐在电脑旁，每天都要几个小时以上，去年开始我的屁股就长痔疮了，刚开始只是一小块肉，不痛也没有流血，请问；痔疮平时需要注意些什么,"您这是痔疮,由于已经再次出现疼痛,出血症状,所以建议您到医院进行救治,以防传染.可以治好的,没有必要担心.建议您到正规医院的肛肠科复诊,把痔疮摘除了就会好的,您这是外痔,平时不要吃辛辣食物,多吃水果,始终保持大便通畅.不要有任何的心理压力，保持愉快的心情，而且期间要注意多休息，同时饮食也要保持清单，避免油腻和辛辣，这样对你自己和腹中的胎儿都是有好处的。"
肛肠,痔疮自己能好的快吗,"男，34岁，我的一个朋友得病多年,去年频发,大便带血,不能吃棘椒,喝酒我想知道痔疮的较佳治疗方法，请问；痔疮自己能好的快吗",一般绝不会自己好的。痔疮一般相信是肛管皮肤下或（和）直肠下段黏膜下的静脉丛血块、扩展和屈曲所构成的静脉团，或因肛管部位的环状海绵样组织带再次发生了异常，使原本是肛管正常的尸体解剖结构遭遇摧毁所引来的。以反复的便后鲜血或便时（便后）肛门有肿物薄弱为主要临床表现的一种常见疾病。因为痔疮会出血，并且是慢性失血过多居多，时间长了是很容易导致贫血的。痔疮一般是绝不会自己好的。
肛肠,痔疮发作几天能好的快,"男，33岁，我的一个朋友得病多年,去年频发,大便带血,不能吃棘椒,喝酒我想知道痔疮的较佳治疗方法，请问；痔疮发作几天能好的快","痔疮复发时间不好确认，建议你积极救治，惯良好的生存、饮食生活习惯，救治痔疮没什么特效的方法。必须始终保持大便通畅柔软，惯定时大便习惯，有便意时必须尽快上厕所。每天多吃蔬菜，香蕉，红薯。蜂蜜。戒酒和防止吃辛辣食物。就会稳定。必要时候可以手术救治。症状轻时可以先使用痔疮栓有作用。但是注意上述问题,否则手术后有可能病发的啊。"
肛肠,痔疮要如何医治疗比较好的快,"男，30岁，我的一个朋友得病多年,去年频发,大便带血,不能吃棘椒,喝酒我想知道痔疮的较佳治疗方法，请问；痔疮要如何医治好的快",根据你的你是由于近半年的时间，每次大便都特别困难，还会有尿血的症状再次出现，肛门附近有小肉瘤，得的是痔疮疾病。建议您平时要从饮食上注意调养，多吃一些更易吸收的食物，不要吃辛辣刺激性的食物，刺激肛门，以便严重病情。不要有任何的心理压力，保持愉快的心情，而且期间要注意多休息，同时饮食也要保持清单，避免油腻和辛辣，这样对你自己和腹中的胎儿都是有好处的。
肛肠,痔疮严重会怎么样,男，30岁，我的工作经常要坐在电脑旁，每天都要几个小时以上，去年开始我的屁股就长痔疮了，刚开始只是一小块肉，不痛也没有流血，请问；痔疮严重会怎么样,"建议您去医院救治，可以采取中药救治以免耽搁较佳救治时机痔疮是人体直肠末端粘膜下和肛管皮肤下静脉丛再次发生扩展和屈曲所构成的柔软静脉团,多是饮食不节：易生湿积热,湿热下注肛门,使肛门冲血灼痛,引起痔疮。劳累过度：久坐则血脉不行了,久行则气血纵横驰骋。瘀血流注肛门而生痔疾。要惯恰当的饮食生活习惯,不要吃太多辛辣食物,要多吃水果蔬菜类的食物。"
肛肠,痔疮要怎么救治能好,男，31岁，我的工作经常要坐在电脑旁，每天都要几个小时以上，去年开始我的屁股就长痔疮了，刚开始只是一小块肉，不痛也没有流血，请问；痔疮要怎么救治能好,这个是属于救治痔疮的外用药物，具有清热解毒，缓解症状的作用，但是也只好起些缓解控制的作用，不能够缓解具体痔疮情况。平时需要有惯良好的生活习惯，排便习惯，饮食生活习惯等等，有效预防工作痔疮问题的再次出现。不要有任何的心理压力，保持愉快的心情，而且期间要注意多休息，同时饮食也要保持清单，避免油腻和辛辣，这样对你自己和腹中的胎儿都是有好处的。
肛肠,怎么区分肛门尖锐和痔疮,"男，31岁，我的一个朋友得病多年,去年频发,大便带血,不能吃棘椒,喝酒我想知道痔疮的较佳治疗方法，请问；怎么区分肛门尖锐和痔疮",尖锐湿疣会渐减小成乳头状或菜花状，表面粗糙不平呈颗粒状或毛刺样，一般没疼痛或瘙痒的感觉，痔疮可分成内痔，外痔，混合痔，根据位子不同，症状不同，有烧灼感，异物感，随着疼痛，部分病人除了出血现象。你可以从这几方面初步判断一下。建议到正规医院复诊。
肛肠,怎样可以尽快消除痔疮,"男，33岁，我的一个朋友得病多年,去年频发,大便带血,不能吃棘椒,喝酒我想知道痔疮的较佳治疗方法，请问；怎样可以尽快消除痔疮","痔疮是常见病,首先你用不着担心,这是烦忧许多人的问题,心情要调整好。典型症状有大便时肛门疼痛、便后出鲜血、肛门外可以看见小肉球等。保守救治可以肛门外用对症药物对症药物,吃点迈之灵,每天晚上温水坐浴。痔疮非常重要的地方是防止病发有关因素:平时注意规律饮食及生活习惯,不吃辛辣刺激食物,预防工作便秘、始终保持大便通畅,惯按时排便的习惯,蹲厕时间不宜过长等。"
肛肠,痔疮是怎样产生的,男，33岁，我的工作经常要坐在电脑旁，每天都要几个小时以上，去年开始我的屁股就长痔疮了，刚开始只是一小块肉，不痛也没有流血，请问；痔疮是怎样产生的,你患了痔疮需要有帮助，已经在医院肛肠科进行详细的仔细检查，疾病的确诊也已经明确了。医生应当也作出了救治建议。痔疮的构成原因便秘和排便时用力屏气，长再次出现痔与血便，长期以来被当之无愧相信是构成痔的重要原因，因为干硬的粪便和屏气可以引来痔静脉回流受阻而再次发生扩展。其他原因肛垫压力升高，肛垫向下移动，血管炎症，血管增生等。
肛肠,痔疮反复出血该怎么样治疗,"男，32岁，我的一个朋友得病多年,去年频发,大便带血,不能吃棘椒,喝酒我想知道痔疮的较佳治疗方法，请问；痔疮反复出血该怎么样治疗","痣是局限性皮肤色素异常,可以降生就有,自可后天再次发生.这些痣绝大部分是良性的,毋须救治.长在面部,影响了容貌,可以采取不同的方法将其除去.常用的脱痣方法有以下几种：激光法、冷藏法、电灼法、扫斑机脱痣法和化学药剂脱痣法等。不要有任何的心理压力，保持愉快的心情，而且期间要注意多休息，同时饮食也要保持清单，避免油腻和辛辣，这样对你自己和腹中的胎儿都是有好处的。"
肛肠,这个月以来痔疮很痛要怎么办好,27岁，女最近只要一坐好没一会就疼的受不了，摸到屁股上有个小疙瘩，后来仔细检查说是痔疮请问这个月以来痔疮很痛要怎么办好,考虑痔疮引来的现象，会有肛门疼痛，严重时大便出血的症状。建议清淡温软饮食，多饮水，多吃蔬菜水果，少吃辛辣刺激性食物，并且涂抹对症药物调养，可以有所转好。在治疗期间患者需要做的饮食有节，规律作息积极参加体育锻炼，调节身心健康，保持自身卫生.避免因抵抗力下降而导致细菌入侵。
肛肠,怎么尽快解决痔疮疼痛问题,27岁，女最近只要一坐好没一会就疼的受不了，摸到屁股上有个小疙瘩，后来仔细检查说是痔疮请问怎么尽快解决痔疮疼痛问题,对于你这痔疮的保守救治，建议肛门坐浴稳定局部血液循环；增强粗纤维性食物，发生改变不良的大便习惯，始终保持大便通畅，综合防治便秘和恶心呕吐，在保守救治无效时行得通手术救治。患者要养成规律作息的生活好习惯，坚持治疗，并且要清淡饮食多做有氧运动，这样才能提供自身免疫力降低患病风险。
肛肠,怎么样才能避免痔疮疼痛,27岁，女最近只要一坐好没一会就疼的受不了，摸到屁股上有个小疙瘩，后来仔细检查说是痔疮请问怎么样才能避免痔疮疼痛,1、消化水分：体内的水分容易蒸发掉，需要有及时地消化水分，每天7—8杯即可，可在每天上床睡觉前空腹喝一杯蜂蜜水或者盐热水，协助肠胃吸收。2、饮食要留意：忌吃辛辣、油腻等比较含有刺激性的食物，多吃些新鲜的水果或蔬菜，如苹果、香蕉、梨子、青菜、菠菜、白菜等等有利于排便的食物，最好不要过度的抽烟和喝啤酒。3、排便要良好：保持良好的排便习惯，不要长久地蹲在厕所看书、玩游戏，最好能压制在10分钟之内，每天最好能定时排便，切勿忍便忍尿，构成习惯性照射条件排便。
肛肠,痔疮痛怎么缓解疼痛,27岁，女最近只要一坐好没一会就疼的受不了，摸到屁股上有个小疙瘩，后来仔细检查说是痔疮请问痔疮痛怎么缓解疼痛,痔疮总是疼痛，这可以考虑用些活血的药物救治的。你现在这种情况，还是尽早去医院救治比较好，早治疗效果会好多，必要的时候可以考虑手术救治的。平时自己要多留意歇息，清淡饮食。患者需要根据自身病情尽快到正规三甲医院进行系统规范的检查，这样才能对症治疗尽快康复。
肛肠,痔疮疼这要怎么办呢,26岁，女最近只要一坐好没一会就疼的受不了，摸到屁股上有个小疙瘩，后来仔细检查说是痔疮请问痔疮疼这要怎么办呢,要想解决问题，可以考虑手术摘除痔疮，肛裂可以第二级神经元有痔疮，这是确诊肠道炎症最佳的仔细检查方法，痔疮绝不会癌变，高锰酸钾温水坐浴，防止长时间的下蹲，防止大便干结始终保持通畅。忌食辛辣刺激性食物尤其是辣椒患者要养成规律作息的生活好习惯，坚持治疗，并且要清淡饮食多做有氧运动，这样才能提供自身免疫力降低患病风险。
肛肠,痔疮患者平时该如何饮食,男，32岁，我的工作经常要坐在电脑旁，每天都要几个小时以上，去年开始我的屁股就长痔疮了，刚开始只是一小块肉，不痛也没有流血，请问；痔疮患者平时该如何饮食,你目前给出的拥有着痔疮的问题。给您提供以下几点建议，建议这段时间多注意休息，防止闹肚子，防止太过劳累，防止排便太过油腻辛辣刺激性的食物，戒掉烟酒，积极锻炼身体，都吃一些含有纤维素的食物。不要有任何的心理压力，保持愉快的心情，而且期间要注意多休息，同时饮食也要保持清单，避免油腻和辛辣，这样对你自己和腹中的胎儿都是有好处的。
肛肠,痔疮外露很痛怎么办,24岁，女最近排便有点困难，有的时候除了血迹，同事说可能会是痔疮，请问痔疮外露很痛怎么办,对于你这痔疮的保守救治我建议:行肛门坐浴稳定局部血液循环；增强粗纤维性食物，发生改变不良的大便习惯，始终保持大便通畅，综合防治便秘和恶心呕吐，用对症药物对症药物肛塞救治等，你这保守救治无效行得通手术救治。在治疗期间患者需要做的饮食有节，规律作息积极参加体育锻炼，调节身心健康，保持自身卫生.避免因抵抗力下降而导致细菌入侵。
肛肠,为什么痔疮快一个月了还没好,27岁，女最近只要一坐好没一会就疼的受不了，摸到屁股上有个小疙瘩，后来仔细检查说是痔疮请问为什么痔疮快一个月了还没好,长了痔疮后可先外用对症药物实施救治，如果痔疮严重的话也可以手术救治。惯每日定时排便的好习惯，经常吃一些粗粮，杂粮，多食含纤维多的蔬菜和水果，适当地多运动。在治疗期间患者需要做的饮食有节，规律作息积极参加体育锻炼，调节身心健康，保持自身卫生.避免因抵抗力下降而导致细菌入侵。
肛肠,孩子患了痔疮该怎么办,孩子最近排便有点困难，有的时候除了血迹，去看医生说是痔疮请问孩子患了痔疮该怎么办,"你的孩子太小了,痔疮就是喝药的话也是效果不好的,所以建议不要随便给孩子喝药.可以动用对症药物膏外用看一看效果很好的,另外就是平时孩子的饮食要压制好,始终保持大便通畅,多给孩子吃蔬菜和水果,除了香蕉什么的,对孩子的胃肠道通畅很关键的,不能够让孩子便秘,对身体生长发育很不好的是.如果药物治疗效果不好,建议择期手术救治。患者需要根据自身病情尽快到正规三甲医院进行系统规范的检查，这样才能对症治疗尽快康复。"
肛肠,长痔疮为什么小便会流血,24岁，女最近排便有点困难，有的时候除了血迹，同事说可能会是痔疮，请问长痔疮为什么小便会流血,患者主要是拥有痔疮的疾病，现在在小便后再次出现破皮的情况，进行咨询进一步解决措施的问题。从患者的病情况且致使再次出现这样的情况要考虑可能会和痔疮的运动关于，建议要及时到当地医院的肛肠外科门诊复诊，必要时要实施手术救治。患者要养成规律作息的生活好习惯，坚持治疗，并且要清淡饮食多做有氧运动，这样才能提供自身免疫力降低患病风险。
普通外科,腰疼骨节响要怎么办,"我怀上之前就疼，现在俩年了骨节响，之前有拍过片子脊椎有点变形,请问腰疼骨节响要怎么办",根据您的情况，怀上后由于身理弯折再次发生发生改变，会令得现有的脊椎再次发生进一步弯折，因此，临产之后最好做全面的仔细检查辅助性救治稳定症状。根据您的情况，个人建议您最好到骨科医院做全面仔细检查，必要时做进一步救治。患者要养成规律作息的生活好习惯，坚持治疗，并且要清淡饮食多做有氧运动，这样才能提供自身免疫力降低患病风险。
肛肠,有痔疮可不可以顺产,我28岁，女马上就要到临产的日子了，我是想顺产的，据说这样对孩子好，不过我患痔疮，所以就有一点担心，请问有痔疮可不可以顺产,"患痔疮是可以实施顺产的，但是顺产是会严重痔疮的病情的，这个具体怎么确认还是要看你自己。既然患痔疮，最好每天用热毛巾敷一些次肛门，不需要的,冷敷后自然回缩的，除了在产前要多活动活动，有利于供应。患者要养成规律作息的生活好习惯，坚持治疗，并且要清淡饮食多做有氧运动，这样才能提供自身免疫力降低患病风险。"
肛肠,阑尾炎动手术痛吗,我31岁，男患阑尾炎已经有一段时间了，之前一直是在靠药物救治的，但是现在感觉还是做手术会好一些，请问阑尾炎动手术痛吗,阑尾的手术当中再次出现疼痛感觉应当也是一种正常的现象，因为这种麻醉并不是一点儿都感觉不到的痛，这个痛觉神经还是有能感受到这个刺激的个可能性的，所以稍微感觉到一点儿痛也是正常的。在治疗期间患者需要做的饮食有节，规律作息积极参加体育锻炼，调节身心健康，保持自身卫生.避免因抵抗力下降而导致细菌入侵。
肛肠,应该如何治疗肠梗阻,男88岁爷爷一直肚子胀，便秘，吃不下饭，每天都很痛苦，医生说是得了肠梗阻，怎么治疗肠梗阻？应该如何治疗肠梗阻,肠梗塞的治疗方式以药物治疗为主，而且肠梗塞并发期间患者是需要进食的，但是因为身体内的电解质的紊乱让体内的酸碱失去平衡，所以需要及时补充水分，可采取针刺和中药方式治疗的同时，以点滴注射来补充水分。如果情况较为严重的话，还是需要手术治疗的，手术治疗效果较好。
肛肠,阑尾炎微创手术效果怎么样,我32岁，男患阑尾炎已经有一段时间了，之前一直是在靠药物救治的，但是现在感觉还是做手术会好一些，请问阑尾炎微创手术效果怎么样,救治阑尾炎最好的方式就是实施手术救治，你现在也是可以动用手术救治的，一般微创的削骨都是很不错的，也绝不会再次出现什么搞不清楚的情况，在手术过后一般个星期约莫就会下班，平时留意歇息。患者需要根据自身病情尽快到正规三甲医院进行系统规范的检查，这样才能对症治疗尽快康复。
神经脑外科,脑梗引起的脑萎缩应该如何治疗,男72岁患上脑梗已经有很长一段时间了，但是最近到医院检查发现有脑萎缩的症状，脑梗引起的脑萎缩到底该怎么治疗？脑梗引起的脑萎缩应该如何治疗,脑萎缩在进行治疗的时候，药物治疗是主要的治疗方式，如果脑萎缩较为严重的话，也可以进行手术治疗，但是手术治疗是比较挑剔的，并不是任何人群都可进行脑萎缩的手术治疗，尤其是脑梗塞引起的脑萎缩，治疗方式还是以患者的体质和病情的严重程度为主，如果患者年龄较大的话，一般不建议进行手术治疗。
肛肠,阑尾炎术后饮食原则是什么,我33岁，男患阑尾炎已经有一段时间了，之前一直是在靠药物救治的，但是现在感觉还是做手术会好一些，请问阑尾炎术后饮食原则是什么,阑尾炎患者在未排气时不可以排便。术后第三天吃一些更易吸收的食物，如稀米粥，面汤等。饮食上宜清淡，吃一些含有纤维素的食物，可以增进肠道的扭动，多吃一些水果，比如说香蕉，苹果等消化维生素。在治疗期间患者需要做的饮食有节，规律作息积极参加体育锻炼，调节身心健康，保持自身卫生.避免因抵抗力下降而导致细菌入侵。
肛肠,痔疮已经好了为什么会大便出血,本人30岁得病后，吃药也没有什么效果，还是不舒服，请问：痔疮已经好了为什么会大便出血,痔疮好了，却大便又出血，可能会还没有全愈，可能会仍然有内痔，肛裂等疾病，改正不良饮食生活习惯，长期饮酒不但对肝脏有危害，而且也可增进痔疮的构成，痔疮患者应戒酒，同时防止辛辣刺激性的食物。然后，患者需要做到饮食有节，规律作息，调节身心健康，在生活中注意要保持良好的心情，要多吃清淡稀软的食物，多喝水也要多吃一些蔬菜与水果。
肝胆科,人为什么会得胆结石问题呢,女今年41岁，来回跑医院去了很多回，总是效果不明显，也一直在发病，请问：人为什么会得胆结石问题呢,胆结石成分还是以胆汁为基础﹝其余抱括胆固醇、胆色素、甚至钙离子﹞，而在正常的化学及物理环境下，绝大多数的人都不会产生胆结石，但假若个体本身饮食不当或胆道再次发生病菌传染，再加上代谢通路堵塞，则会令得其中过量的成推测出积淀而构成结石。因此，在日常饮食生活习惯中，应当防止食用高醣类、高油脂类﹝甚至高胆固醇类﹞食物。
肝胆科,想知道胆结石是怎么引起的,女今年39岁，我也不知道当初我为什么会有这个病，因为当初我也没去注意这件事，知道我身体不适的时候才去查身体，这病已经开始影响我的生活。请问：想知道胆结石是怎么引起的？,肝胆的疾病可以致使再次出现这样的症状，肝胆疾病会引来恶心干呕，特别是在吃油腻食物的时候，所以你再次出现这样的症状考虑与肝胆有关系。意见建议：是不是有胆结石，还需要有通过仔细检查才知晓，你可以做几下肝胆彩超仔细检查，并且可以查几下肝功能，乙肝5项，剔除有肝硬化，肝功能损伤，乙型肝炎病毒等情况。
肝胆科,胆结石怎么形成的该病,女今年40岁，慢慢的身体就不舒服，也不知道怎么了，似乎没有精神请问：胆结石怎么形成的该病？,胆结石是因为胆汁淤滞引发的，主要是因为饮食不规律，缺少活动、喝水晒少，高脂肪饮食、肥胖等原因引来的，一般结石低于3cm可以保守治疗，症状严重可手术治疗，平时要留意惯按时用餐的习惯，清淡饮食。疾病的治疗方法有很多，但是由于患者病情不同所以采取的医治方法也就不一样，因此需要患者尽快去专业一样进行详细检测，才能对症下药。
神经脑外科,腔隙性脑梗吃哪些药治疗,男今年53最近因为突发性脑梗住院治疗的，我担心以后还会再病发，请问我想知道腔隙性脑梗吃哪些药治疗？,建议您去医院进一步仔细检查下，看一看恢复的情况。一般可以吃些稳定脑循环往复的药物，除了抗凝药物等。始终保持心情愉快，增加战胜疾病的信心。重新调整饮食生活习惯，饮食以清淡易消化为宜，多吃蔬菜、水果，戒烟酒，适当的做些体育锻炼，有利于病情的恢复，生活要有规律。
